,Name,Price,Discount,Amount,Category ID,Item ID,Shop ID
89,"Cây Vợt Cầu Lông KUNO A97, 4U Chính Hãng, Công Thủ Toàn Diện, Carbon T700 căng sẵn 10kg 1 cây",495.000,-24%,"1,3k",100637,13114387853,532453801
90,Con lăn tập cơ bụng Welike - Dụng cụ tập bụng tăng cơ giảm mỡ 2 4 bánh kèm thảm lót gối tập thể dục gym tại nhà hiệu quả,68.000,-43%,"1,4k",100637,20250116756,869729579
91,"Băng gối bóng đá, bóng chuyền vải dệt kim 3D thoáng khí Aolikes 7718 (1 chiếc)",49.000,-42%,"16,7k",100637,7516466844,28152219
92,Mũ lót mũ bảo hiểm Musion thấm hút mồ hôi co giãn tốt phong cách thể thao ngoài trời,16.900,-50%,"1,3k",100637,21231072284,204226803
93,Cuộn Dây Câu Cá nylon 2lb - 40lb 100m Siêu Bền Chất Lượng Cao,11.600,-50%,"1,4k",100637,22153259831,176744484
94,JETTING Set 10 Băng Quấn Ngón Tay Hỗ Trợ Khi Chơi Thể Thao Tiện Dụng,7.500,-29%,"5,2k",100637,7514949253,115102762
95,"Bộ vợt cầu lông FITEZY - Sự lựa chọn thông minh, tiết kiệm và dễ sử dụng cho người mới và học sinh",95.000,-30%,111,100637,25256547168,482227512
96,Dây Nhảy Thể Lực Đếm Số Tập Thể Dục Thể Thao Giảm Cân Cao Cấp Nhiều Màu AllSport,12.000,-50%,"2,4k",100637,20493623056,1006047753
97,Vali kéo du lịch Kingsun KS-219/KS-T01 Bảo hành 5 năm,388.000,-40%,22k,100015,3108452560,182303571
98,HT XIANSHENG Túi Xách canvas Cỡ Lớn Đựng Hành Lý Tiện Dụng,126.000,-50%,601,100015,18780769433,946599109
99,"Vợt Cầu Lông KUNO Super Light K88 Công Thủ Toàn Diện, Trọng Lượng 6U Nhẹ,Trợ Lực Tốt Căng Sẵn 10kg",495.000,-24%,480,100637,22851771858,532453801
100,"Tạ tay Welike tập gym yoga thể dục tại nhà 0,5kg 1kg 1,5kg 2kg lõi gang bọc cao su cao cấp chống xước chống vỡ sàn nhà",20.700,-48%,"4,2k",100637,20583483367,869729579
101,"Giày Đá Bóng Wika 3 Sọc Chính Hãng, Giày Bóng Đá CT3 Nam Nữ  Chất Liệu Da Nhăn Cao Cấp Đã Được Khâu Toàn Bộ Đế",40.000,-17%,"8,3k",100637,14730773187,392307716
102,Vợt cầu lông 100% cacbon FITEZY 9-10kg cao cấp trọng lượng 4U căng tối đa 11kg độ cân bằng 295mm công thủ toàn diện,278.100,-10%,128,100637,24309907171,53594221
103,[Tặng Kim bơm & Lưới bóng] Bóng Đá DELTA 5M Size 5 Chất Liệu Da TPU Chơi Trên Sân Cỏ Nhân Tạo Dùng Cho 12 Tuổi Trở Lên,119.200,-20%,"7,6k",100637,3233781502,138154224
104,[Mã INBAU253 giảm 25K đơn 149K] Bóng Tập Cổ Tay PINMU Thiết Kế Xoay Tròn Chuyên Nghiệp Luyện Tập Cổ Tay Cánh Tay,99.000,-50%,142,100637,24060060247,1154967500
105,Băng quấn bảo vệ đầu gối AOLIKES dạng nén hỗ trợ đầu gối khi chạy bộ cho nam và nữ (1 chiếc),46.980,-41%,"7,8k",100637,14910806237,596608695
106,Toopre Đèn Pin Siêu Sáng Có Thể Điều Chỉnh Tốc Độ Năm 2023,59.000,-41%,"1,9k",100637,20274421884,474058487
107,ALPSPORT Mới SS 100% Full Carbon Fiber Pro Vợt cầu lông Thiết kế xâu dây nguyên bản dành cho người mới bắt đầu Tấn công vợt đen T800 Dây kẹp Cài đặt Raket trắng ALP Raket Rsl Yonex Liling Victor Raket,379.000,-57%,153,100637,23424857785,727709621
108,OneTwoFit Bàn bida mini cho trẻ em và người lớn bằng gỗ đa chức năng，bida mini phăng 69*36.5*58.5cm ET011101,499.000,-37%,493,100637,18860672491,276891552
109,ALPSPORT Vợt Cầu Lông ALP BBQ2.0 8U G5 65g 100% Sợi Carbon Siêu Nhẹ,469.000,-31%,"2,7k",100637,15996472496,727709621
110,Deukio Áo Mưa Dáng Dài Toàn Thân Chạy Bằng Pin Điện Sành Điệu Và Đẹp Mắt Dành Cho Xe Đạp Điện,85.000,-50%,"2,9k",100637,21880617577,984694229
111,"Dây kháng lực tập gym JUSTFIT cao su, power band trợ lực kéo xà, tập chân, cơ tay, mông nam nữ",9.000,-81%,9k,100637,9089248968,502999810
112,Xà đơn treo tường Welike - Xà đơn gắn cửa gắn tường đa năng tập gym thể hình Thanh xà đơn treo tường nhiều cỡ 60-150cm,89.000,-51%,"4,8k",100637,23148564918,869729579
113,"[TẶNG QUÀ] Bộ 2 chiếc vợt cầu lông Agnite chính hãng TẶNG kèm hộp cầu, bao đựng, siêu nhẹ, khung carbon cao cấp",99.000,-65%,"17,8k",100637,8854507751,418685320
114,"[Phối màu] Bộ 2 vợt cầu lông thiết kế mới Agnite, siêu bền, nhẹ TẶNG kèm hộp cầu và túi đựng",209.000,-44%,407,100637,22252937627,1023360720
115,Alpsport Vợt Cầu Lông rr 4u 25lbs g5 Bằng Sợi carbon Màu Đen Chuyên Nghiệp,195.000,-35%,"2,5k",100637,18373500834,727709621
116,Arctic Hunter Túi Đựng Mỹ Phẩm Cầm Tay Bằng PVC Trong Suốt Chống Nước Sức Chứa Lớn Phong Cách Hàn Quốc Cho Nam Và Nữ,9.000,-50%,"36,7k",100015,21678866565,946592159
117,Dây Nhảy Đếm Số Thể Lực Đàn Hồi 2.9m Hỗ Trợ Luyện Tập Thể Dục Tại Nhà SAKOMALL,9.000,-44%,"6,7k",100637,18667721276,916475892
118,Nón Tai Bèo Chống Nắng Thoáng Khí Thời Trang Hàn Quốc Có Thể Gấp Gọn Dễ Dàng Mang Theo Khi Đi Câu Cá Chống Nắng Bảo Vệ Tháo Rời Được Cho Cặp Đôi,39.000,-50%,787,100637,22473567787,984678049
119,Mũ trùm đầu toàn bộ phối lưới màu trơn/ in họa tiết đầu lâu cá tính nhiều màu sắc tùy chọn dành cho hóa trang,22.900,-49%,"1,1k",100637,13926145440,204226803
120,Vợt cầu lông Kumpoo K520 pro chính hãng sợi carbon 4U căng sẵn công thủ toàn diện dành cho mọi người chơi,510.000,-46%,"9,3k",100637,16998615832,1052500269
121,"Xà đơn treo tường cao cấp Welike - Thanh xà đơn có chốt chống xoay, điều chỉnh độ dài từ 60 đến 140cm tập luyện tại nhà",99.000,-33%,652,100637,20982045158,869729579
